Well_Name,Depth,Porosity,Sw,Permeability,Vshale,Distance_to_OWC,Reservoir_Pressure,TVD_Depth,Is_Perforated,Initial_Rate,Production_Class
Well-A,3095.336,0.0001,1,0.000301832,1,0,3068.3,2541.4541,FALSE,,
Well-A,3095.4884,0.0001,1,0.000301832,1,0,3068.48,2541.6065,FALSE,,
Well-A,3095.6408,0.0001,1,0.000301832,1,0,3068.67,2541.7589,FALSE,,
Well-A,3095.7932,0.0001,1,0.000301832,1,0,3068.85,2541.9113,FALSE,,
Well-A,3095.9456,0.0001,1,0.000301832,1,0,3069.03,2542.0637,FALSE,,
Well-A,3096.098,0.0001,1,0.000301832,1,0,3069.22,2542.2161,FALSE,,
Well-A,3096.2504,0.0001,1,0.000301832,1,0,3069.4,2542.3685,FALSE,,
Well-A,3096.4028,0.0001,1,0.000301832,1,0,3069.59,2542.5209,FALSE,,
Well-A,3096.5552,0.0001,1,0.000301832,1,0,3069.77,2542.6733,FALSE,,
Well-A,3096.7076,0.0001,1,0.000301832,1,0,3069.95,2542.8257,FALSE,,
Well-A,3096.86,0.0001,1,0.000301832,1,0,3070.14,2542.9781,FALSE,,
Well-A,3097.0124,0.0001,1,0.000301832,1,0,3070.32,2543.1305,FALSE,,
Well-A,3097.1648,0.0001,1,0.000301832,0.9994,0,3070.51,2543.2829,FALSE,,
Well-A,3097.3172,0.0001,1,0.000301832,0.9967,0,3070.69,2543.4353,FALSE,,
Well-A,3097.4696,0.0001,1,0.000301832,0.9898,0,3070.87,2543.5877,FALSE,,
Well-A,3097.622,0.0001,1,0.000301832,0.9949,0,3071.06,2543.7401,FALSE,,
Well-A,3097.7744,0.0001,1,0.000301832,0.9911,0,3071.24,2543.8925,FALSE,,
Well-A,3097.9268,0.0001,1,0.000301832,0.9459,0,3071.43,2544.0449,FALSE,,
Well-A,3098.0792,0.0001,1,0.000301832,0.9228,0,3071.61,2544.1973,FALSE,,
Well-A,3098.2316,0.0003,1,0.00030553,0.8812,0,3071.79,2544.3497,FALSE,,
Well-A,3098.384,0.0467,1,0.005152335,0.6727,0,3071.98,2544.5021,FALSE,,
Well-A,3098.5364,0.0179,1,0.000892173,0.7133,0,3072.16,2544.6545,FALSE,,
Well-A,3098.6888,0.001,1,0.000318834,0.9719,0,3072.35,2544.8069,FALSE,,
Well-A,3098.8412,0.0001,1,0.000301832,1,0,3072.53,2544.9593,FALSE,,
Well-A,3098.9936,0.0001,1,0.000301832,1,0,3072.71,2545.1117,FALSE,,
Well-A,3099.146,0.0001,1,0.000301832,1,0,3072.9,2545.2641,FALSE,,
Well-A,3099.2984,0.0001,1,0.000301832,1,0,3073.08,2545.4165,FALSE,,
Well-A,3099.4508,0.0001,1,0.000301832,1,0,3073.26,2545.5689,FALSE,,
Well-A,3099.6032,0.0001,1,0.000301832,1,0,3073.45,2545.7213,FALSE,,
Well-A,3099.7556,0.0001,1,0.000301832,1,0,3073.63,2545.8737,FALSE,,
Well-A,3099.908,0.0001,1,0.000301832,1,0,3073.82,2546.0261,FALSE,,
Well-A,3100.0604,0.0001,1,0.000301832,1,0,3074,2546.1785,FALSE,,
