Well_Name,Zone_Name,Depth,Top_Depth,Bottom_Depth,Porosity,Sw,Permeability,Vshale,Distance_to_OWC,Reservoir_Pressure,TVD_Depth,Is_Perforated,Initial_Rate,Production_Class
24P,5.1_060,2840.1064,2840.0302,2840.1826,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2840.2588,2840.1826,2840.335,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2840.4112,2840.335,2840.4874,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2840.5636,2840.4874,2840.6398,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2840.716,2840.6398,2840.7922,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2840.8684,2840.7922,2840.9446,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2841.0208,2840.9446,2841.097,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2841.1732,2841.097,2841.2494,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2841.3256,2841.2494,2841.4018,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2841.478,2841.4018,2841.5542,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2841.6304,2841.5542,2841.7066,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2841.7828,2841.7066,2841.859,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2841.9352,2841.859,2842.0114,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2842.0876,2842.0114,2842.1638,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2842.24,2842.1638,2842.3162,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2842.3924,2842.3162,2842.4686,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2842.5448,2842.4686,2842.621,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2842.6972,2842.621,2842.7734,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2842.8496,2842.7734,2842.9258,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2843.002,2842.9258,2843.0782,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2843.1544,2843.0782,2843.2306,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2843.3068,2843.2306,2843.383,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2843.4592,2843.383,2843.5354,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2843.6116,2843.5354,2843.6878,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2843.764,2843.6878,2843.8402,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2843.9164,2843.8402,2843.9926,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2844.0688,2843.9926,2844.145,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2844.2212,2844.145,2844.2974,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2844.3736,2844.2974,2844.4498,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2844.526,2844.4498,2844.6022,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2844.6784,2844.6022,2844.7546,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2844.8308,2844.7546,2844.907,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2844.9832,2844.907,2845.0594,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2845.1356,2845.0594,2845.2118,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2845.288,2845.2118,2845.3642,0.0001,1.0,,1.0,0,,,False,,
24P,5.1_060,2845.4404,2845.3642,2845.5166,0.0001,1.0,,1.0,0,,,False,,
