Well_Name,Date,Oil_Rate
24P,2020-01-31,687.6
24P,2020-02-29,703.0
24P,2020-03-31,691.6
24P,2020-04-30,689.8
24P,2020-05-31,650.8
24P,2020-06-30,646.2
24P,2020-07-31,616.8
24P,2020-08-31,624.7
24P,2020-09-30,634.8
24P,2020-10-31,605.1
24P,2020-11-30,611.5
24P,2020-12-31,590.9
24P,2021-01-31,589.2
24P,2021-02-28,559.9
24P,2021-03-31,568.6
24P,2021-04-30,517.1
24P,2021-05-31,548.0
24P,2021-06-30,304.9
24P,2021-07-31,511.5
24P,2021-08-31,543.3
24P,2021-09-30,529.5
24P,2021-10-31,517.4
24P,2021-11-30,524.5
24P,2021-12-31,482.5
24P,2022-01-31,512.8
24P,2022-02-28,494.2
24P,2022-03-31,470.6
24P,2022-04-30,482.8
24P,2022-05-31,444.4
24P,2022-06-30,441.5
24P,2022-07-31,437.8
24P,2022-08-31,432.3
24P,2022-09-30,418.4
24P,2022-10-31,443.8
24P,2022-11-30,416.7
24P,2022-12-31,419.0
24P,2023-01-31,399.9
24P,2023-02-28,376.4
24P,2023-03-31,540.0
24P,2023-04-30,393.8
24P,2023-05-31,357.4
24P,2023-06-30,377.5
24P,2023-07-31,353.7
24P,2023-08-31,395.1
24P,2023-09-30,374.6
24P,2023-10-31,357.9
24P,2023-11-30,368.8
24P,2023-12-31,334.0
25P,2020-01-31,121.3
25P,2020-02-29,119.0
25P,2020-03-31,117.8
25P,2020-04-30,118.8
25P,2020-05-31,116.1
25P,2020-06-30,113.7
25P,2020-07-31,107.7
25P,2020-08-31,108.0
25P,2020-09-30,108.7
25P,2020-10-31,107.9
25P,2020-11-30,103.7
25P,2020-12-31,110.9
25P,2021-01-31,107.5
25P,2021-02-28,104.1
25P,2021-03-31,101.6
25P,2021-04-30,99.7
25P,2021-05-31,96.8
25P,2021-06-30,36.1
25P,2021-07-31,96.9
25P,2021-08-31,96.2
25P,2021-09-30,91.4
25P,2021-10-31,94.1
25P,2021-11-30,91.8
25P,2021-12-31,86.5
25P,2022-01-31,87.9
25P,2022-02-28,87.9
25P,2022-03-31,92.4
25P,2022-04-30,88.1
25P,2022-05-31,82.5
25P,2022-06-30,85.9
25P,2022-07-31,80.0
25P,2022-08-31,85.3
25P,2022-09-30,80.6
25P,2022-10-31,80.5
25P,2022-11-30,83.0
25P,2022-12-31,75.8
25P,2023-01-31,74.6
25P,2023-02-28,75.6
25P,2023-03-31,54.3
25P,2023-04-30,77.6
25P,2023-05-31,70.6
25P,2023-06-30,66.6
25P,2023-07-31,71.4
25P,2023-08-31,73.0
25P,2023-09-30,73.7
25P,2023-10-31,68.8
25P,2023-11-30,68.1
25P,2023-12-31,71.0
33P,2020-01-31,1540.2
33P,2020-02-29,1555.9
33P,2020-03-31,1543.4
33P,2020-04-30,1521.2
33P,2020-05-31,1460.7
33P,2020-06-30,1448.8
33P,2020-07-31,1339.4
33P,2020-08-31,1369.9
33P,2020-09-30,1377.9
33P,2020-10-31,1305.0
33P,2020-11-30,1311.9
33P,2020-12-31,1298.3
33P,2021-01-31,1247.6
33P,2021-02-28,1239.1
33P,2021-03-31,1178.4
33P,2021-04-30,1178.7
33P,2021-05-31,1181.4
33P,2021-06-30,1143.9
33P,2021-07-31,1097.5
33P,2021-08-31,1101.4
33P,2021-09-30,1095.4
33P,2021-10-31,985.7
33P,2021-11-30,1067.5
33P,2021-12-31,999.3
33P,2022-01-31,1003.7
33P,2022-02-28,1008.8
33P,2022-03-31,907.3
33P,2022-04-30,909.7
33P,2022-05-31,904.7
33P,2022-06-30,870.8
33P,2022-07-31,933.6
33P,2022-08-31,833.3
33P,2022-09-30,825.9
33P,2022-10-31,833.5
33P,2022-11-30,772.1
33P,2022-12-31,781.9
33P,2023-01-31,789.0
33P,2023-02-28,752.7
33P,2023-03-31,1282.0
33P,2023-04-30,730.5
33P,2023-05-31,702.0
33P,2023-06-30,656.2
33P,2023-07-31,701.0
33P,2023-08-31,733.2
33P,2023-09-30,664.2
33P,2023-10-31,657.7
33P,2023-11-30,659.8
33P,2023-12-31,584.4
